time,ppg_med
1721884426.412,1023.0,
1721884426.437,1023.0,
1721884426.462,1023.0,
1721884426.487,1023.0,
1721884426.5119998,1023.0,
1721884426.537,1023.0,
1721884426.562,1023.0,
1721884426.587,1023.0,
1721884426.612,357.0,
1721884426.6369998,0.0,
1721884426.662,0.0,
1721884426.687,0.0,
1721884426.7120001,0.0,
1721884426.737,0.0,
1721884426.762,0.0,
1721884426.787,0.0,
1721884426.812,0.0,
1721884426.8370001,0.0,
1721884426.862,0.0,
1721884426.887,0.0,
1721884426.912,0.0,
1721884426.937,0.0,
1721884426.9620001,-1015.0,
1721884426.987,335.0,
1721884427.012,1023.0,
1721884427.037,1023.0,
1721884427.062,1023.0,
1721884427.087,1023.0,
1721884427.112,1023.0,
1721884427.1369998,1023.0,
1721884427.162,1023.0,
1721884427.1869998,1023.0,
1721884427.212,1023.0,
1721884427.237,1023.0,
1721884427.2619998,1023.0,
1721884427.287,1023.0,
1721884427.3119998,499.0,
1721884427.337,-363.0,
1721884427.362,0.0,
1721884427.3869998,0.0,
1721884427.412,0.0,
1721884427.4369998,0.0,
1721884427.462,0.0,
1721884427.487,0.0,
1721884427.512,0.0,
1721884427.537,0.0,
1721884427.562,0.0,
1721884427.587,0.0,
1721884427.612,0.0,
1721884427.637,-825.0,
1721884427.662,425.0,
1721884427.687,629.0,
1721884427.712,309.0,
1721884427.737,250.0,
1721884427.762,662.0,
1721884427.787,1023.0,
1721884427.812,1023.0,
1721884427.837,1023.0,
1721884427.862,1023.0,
1721884427.8869998,1023.0,
1721884427.912,1023.0,
1721884427.9369998,1023.0,
1721884427.962,1023.0,
1721884427.9869998,1023.0,
1721884428.0119998,1023.0,
1721884428.037,1023.0,
1721884428.0619998,1023.0,
1721884428.087,1023.0,
1721884428.1119998,1023.0,
1721884428.1369998,1023.0,
1721884428.162,1023.0,
1721884428.1869998,1023.0,
1721884428.212,1023.0,
1721884428.2369998,679.0,
1721884428.2619998,-985.0,
1721884428.287,0.0,
1721884428.312,0.0,
1721884428.337,0.0,
1721884428.362,-1022.0,
1721884428.3869998,-357.0,
1721884428.412,750.0,
1721884428.437,1023.0,
1721884428.462,1023.0,
1721884428.487,1023.0,
1721884428.5119998,-188.0,
1721884428.537,0.0,
1721884428.562,0.0,
1721884428.587,0.0,
1721884428.612,0.0,
1721884428.6369998,0.0,
1721884428.662,0.0,
1721884428.687,0.0,
1721884428.7120001,0.0,
1721884428.737,0.0,
1721884428.762,0.0,
1721884428.787,0.0,
1721884428.812,111.0,
1721884428.8370001,1016.0,
1721884428.862,928.0,
1721884428.887,-212.0,
1721884428.912,0.0,
1721884428.937,0.0,
1721884428.9620001,0.0,
1721884428.987,1023.0,
1721884429.012,1023.0,
1721884429.037,1023.0,
1721884429.062,1023.0,
1721884429.087,1023.0,
1721884429.112,1023.0,
1721884429.1369998,1023.0,
1721884429.162,1023.0,
1721884429.1869998,1023.0,
1721884429.212,1023.0,
1721884429.237,1023.0,
1721884429.2619998,1023.0,
1721884429.287,1023.0,
1721884429.3119998,1023.0,
1721884429.337,1023.0,
1721884429.362,1023.0,
1721884429.3869998,1023.0,
1721884429.412,1023.0,
1721884429.4369998,1023.0,
1721884429.462,1023.0,
1721884429.487,1023.0,
1721884429.512,1023.0,
1721884429.537,825.0,
1721884429.562,448.0,
1721884429.587,190.0,
1721884429.612,120.0,
1721884429.637,164.0,
1721884429.662,212.0,
1721884429.687,267.0,
1721884429.712,410.0,
1721884429.737,647.0,
1721884429.762,845.0,
1721884429.787,859.0,
1721884429.812,714.0,
1721884429.837,587.0,
1721884429.862,602.0,
1721884429.8869998,679.0,
1721884429.912,624.0,
1721884429.9369998,354.0,
1721884429.962,8.0,
1721884429.9869998,-192.0,
1721884430.0119998,-157.0,
1721884430.037,-4.0,
1721884430.0619998,96.0,
1721884430.087,84.0,
1721884430.1119998,45.0,
1721884430.1369998,67.0,
1721884430.162,82.0,
1721884430.1869998,-173.0,
1721884430.212,-1018.0,
1721884430.2369998,0.0,
1721884430.2619998,0.0,
1721884430.287,0.0,
1721884430.312,0.0,
1721884430.337,0.0,
1721884430.362,0.0,
1721884430.3869998,0.0,
1721884430.412,0.0,
1721884430.437,0.0,
1721884430.462,0.0,
1721884430.487,0.0,
1721884430.5119998,0.0,
1721884430.537,212.0,
1721884430.562,1023.0,
1721884430.587,1023.0,
1721884430.612,1023.0,
1721884430.6369998,1023.0,
1721884430.662,1023.0,
1721884430.687,1023.0,
1721884430.7120001,1023.0,
1721884430.737,1023.0,
1721884430.762,1023.0,
1721884430.787,1023.0,
1721884430.812,1023.0,
1721884430.8370001,1023.0,
1721884430.862,560.0,
1721884430.887,25.0,
1721884430.912,113.0,
1721884430.937,382.0,
1721884430.9620001,274.0,
1721884430.987,-313.0,
1721884431.012,-942.0,
1721884431.037,0.0,
1721884431.062,-700.0,
1721884431.087,-98.0,
1721884431.112,303.0,
1721884431.1369998,406.0,
1721884431.162,374.0,
1721884431.1869998,356.0,
1721884431.212,339.0,
1721884431.237,263.0,
1721884431.2619998,156.0,
1721884431.287,104.0,
1721884431.3119998,109.0,
1721884431.337,77.0,
1721884431.362,-47.0,
1721884431.3869998,-176.0,
1721884431.412,-178.0,
1721884431.4369998,-44.0,
1721884431.462,79.0,
1721884431.487,53.0,
1721884431.512,-93.0,
1721884431.537,-205.0,
1721884431.562,-209.0,
1721884431.587,-227.0,
1721884431.612,-470.0,
1721884431.637,0.0,
1721884431.662,0.0,
1721884431.687,0.0,
1721884431.712,0.0,
1721884431.737,0.0,
1721884431.762,0.0,
1721884431.787,0.0,
1721884431.812,0.0,
1721884431.837,-367.0,
1721884431.862,562.0,
1721884431.8869998,1023.0,
1721884431.912,1023.0,
1721884431.9369998,1023.0,
1721884431.962,1023.0,
1721884431.9869998,1023.0,
1721884432.0119998,1023.0,
1721884432.037,1023.0,
1721884432.0619998,1023.0,
1721884432.087,1023.0,
1721884432.1119998,1023.0,
1721884432.1369998,978.0,
1721884432.162,890.0,
1721884432.1869998,834.0,
1721884432.212,817.0,
1721884432.2369998,797.0,
1721884432.2619998,730.0,
1721884432.287,622.0,
1721884432.312,511.0,
1721884432.337,416.0,
1721884432.362,312.0,
1721884432.3869998,174.0,
1721884432.412,15.0,
1721884432.437,-125.0,
1721884432.462,-227.0,
1721884432.487,-322.0,
1721884432.5119998,-446.0,
1721884432.537,-596.0,
1721884432.562,-734.0,
1721884432.587,-831.0,
1721884432.612,-899.0,
1721884432.6369998,-970.0,
1721884432.662,0.0,
1721884432.687,0.0,
1721884432.7120001,0.0,
1721884432.737,0.0,
1721884432.762,0.0,
1721884432.787,0.0,
1721884432.812,0.0,
1721884432.8370001,0.0,
1721884432.862,0.0,
1721884432.887,0.0,
1721884432.912,0.0,
1721884432.937,0.0,
1721884432.9620001,-949.0,
1721884432.987,-866.0,
1721884433.012,-784.0,
1721884433.037,-684.0,
1721884433.062,-556.0,
1721884433.087,-422.0,
1721884433.112,-300.0,
1721884433.1369998,-173.0,
1721884433.162,1.0,
1721884433.1869998,235.0,
1721884433.212,484.0,
1721884433.237,696.0,
1721884433.2619998,883.0,
1721884433.287,1023.0,
1721884433.3119998,1023.0,
1721884433.337,1023.0,
1721884433.362,1023.0,
1721884433.3869998,1023.0,
1721884433.412,1023.0,
1721884433.4369998,1023.0,
1721884433.462,1023.0,
1721884433.487,1023.0,
1721884433.512,1023.0,
1721884433.537,1023.0,
1721884433.562,1023.0,
1721884433.587,1023.0,
1721884433.612,1023.0,
1721884433.637,1023.0,
1721884433.662,1023.0,
1721884433.687,1023.0,
1721884433.712,1023.0,
1721884433.737,1023.0,
1721884433.762,1023.0,
1721884433.787,0.0,
1721884433.812,0.0,
1721884433.837,0.0,
1721884433.862,0.0,
1721884433.8869998,0.0,
1721884433.912,0.0,
1721884433.9369998,0.0,
1721884433.962,0.0,
1721884433.9869998,0.0,
1721884434.0119998,0.0,
1721884434.037,0.0,
1721884434.0619998,0.0,
1721884434.087,0.0,
1721884434.1119998,-296.0,
1721884434.1369998,563.0,
1721884434.162,969.0,
1721884434.1869998,927.0,
1721884434.212,873.0,
1721884434.2369998,1023.0,
1721884434.2619998,1023.0,
1721884434.287,1023.0,
1721884434.312,1023.0,
1721884434.337,458.0,
1721884434.362,-655.0,
1721884434.3869998,0.0,
1721884434.412,0.0,
1721884434.437,0.0,
1721884434.462,0.0,
1721884434.487,0.0,
1721884434.5119998,0.0,
1721884434.537,0.0,
1721884434.562,0.0,
1721884434.587,0.0,
1721884434.612,0.0,
1721884434.6369998,-151.0,
1721884434.662,790.0,
1721884434.687,881.0,
1721884434.7120001,45.0,
1721884434.737,0.0,
1721884434.762,0.0,
1721884434.787,-964.0,
1721884434.812,224.0,
1721884434.8370001,1023.0,
1721884434.862,1023.0,
1721884434.887,1023.0,
1721884434.912,1023.0,
1721884434.937,1023.0,
1721884434.9620001,1023.0,
1721884434.987,1023.0,
1721884435.012,222.0,
1721884435.037,0.0,
1721884435.062,0.0,
1721884435.087,0.0,
1721884435.112,0.0,
1721884435.1369998,0.0,
1721884435.162,0.0,
1721884435.1869998,0.0,
1721884435.212,0.0,
1721884435.237,0.0,
1721884435.2619998,0.0,
1721884435.287,0.0,
1721884435.3119998,0.0,
1721884435.337,0.0,
1721884435.362,0.0,
1721884435.3869998,0.0,
1721884435.412,0.0,
1721884435.4369998,-83.0,
1721884435.462,1023.0,
1721884435.487,1023.0,
1721884435.512,1023.0,
1721884435.537,1023.0,
1721884435.562,1023.0,
1721884435.587,1023.0,
1721884435.612,1023.0,
1721884435.637,1023.0,
1721884435.662,1023.0,
1721884435.687,1023.0,
1721884435.712,1023.0,
1721884435.737,1023.0,
1721884435.762,1023.0,
1721884435.787,1023.0,
1721884435.812,1023.0,
1721884435.837,1023.0,
1721884435.862,1023.0,
1721884435.8869998,1023.0,
1721884435.912,1023.0,
1721884435.9369998,1023.0,
1721884435.962,1023.0,
1721884435.9869998,1023.0,
1721884436.0119998,803.0,
1721884436.037,816.0,
1721884436.0619998,910.0,
1721884436.087,945.0,
1721884436.1119998,834.0,
1721884436.1369998,576.0,
1721884436.162,287.0,
1721884436.1869998,145.0,
1721884436.212,198.0,
1721884436.2369998,222.0,
1721884436.2619998,-139.0,
1721884436.287,-1011.0,
1721884436.312,0.0,
1721884436.337,0.0,
1721884436.362,0.0,
1721884436.3869998,0.0,
1721884436.412,0.0,
1721884436.437,0.0,
1721884436.462,0.0,
1721884436.487,0.0,
1721884436.5119998,0.0,
1721884436.537,0.0,
1721884436.562,0.0,
1721884436.587,0.0,
1721884436.612,0.0,
1721884436.6369998,0.0,
1721884436.662,520.0,
1721884436.687,1023.0,
1721884436.7120001,1023.0,
1721884436.737,1023.0,
1721884436.762,1003.0,
1721884436.787,289.0,
1721884436.812,-409.0,
1721884436.8370001,0.0,
1721884436.862,0.0,
1721884436.887,0.0,
1721884436.912,0.0,
1721884436.937,0.0,
1721884436.9620001,0.0,
1721884436.987,0.0,
1721884437.012,0.0,
1721884437.037,0.0,
1721884437.062,0.0,
1721884437.087,0.0,
1721884437.112,13.0,
1721884437.1369998,761.0,
1721884437.162,516.0,
1721884437.1869998,-655.0,
1721884437.212,0.0,
1721884437.237,0.0,
1721884437.2619998,0.0,
1721884437.287,0.0,
1721884437.3119998,0.0,
1721884437.337,-835.0,
1721884437.362,1023.0,
1721884437.3869998,1023.0,
1721884437.412,1023.0,
1721884437.4369998,1023.0,
1721884437.462,1023.0,
1721884437.487,1023.0,
1721884437.512,1023.0,
1721884437.537,1023.0,
1721884437.562,1023.0,
1721884437.587,1023.0,
1721884437.612,1023.0,
1721884437.637,1023.0,
1721884437.662,1023.0,
1721884437.687,1023.0,
1721884437.712,1023.0,
1721884437.737,1023.0,
1721884437.762,1023.0,
1721884437.787,1023.0,
1721884437.812,1023.0,
1721884437.837,1023.0,
1721884437.862,1023.0,
1721884437.8869998,1023.0,
1721884437.912,1023.0,
1721884437.9369998,1023.0,
1721884437.962,1023.0,
1721884437.9869998,1023.0,
1721884438.0119998,568.0,
1721884438.037,-506.0,
1721884438.0619998,0.0,
1721884438.087,0.0,
1721884438.1119998,0.0,
1721884438.1369998,-400.0,
1721884438.162,358.0,
1721884438.1869998,-341.0,
1721884438.212,0.0,
1721884438.2369998,0.0,
1721884438.2619998,0.0,
1721884438.287,0.0,
1721884438.312,0.0,
1721884438.337,0.0,
1721884438.362,0.0,
1721884438.3869998,0.0,
1721884438.412,0.0,
1721884438.437,-903.0,
1721884438.462,409.0,
1721884438.487,963.0,
1721884438.5119998,1023.0,
1721884438.537,1023.0,
1721884438.562,1023.0,
1721884438.587,1023.0,
1721884438.612,1023.0,
1721884438.6369998,1023.0,
1721884438.662,1023.0,
1721884438.687,1023.0,
1721884438.7120001,1023.0,
1721884438.737,1023.0,
1721884438.762,1023.0,
1721884438.787,1023.0,
1721884438.812,1023.0,
1721884438.8370001,1023.0,
1721884438.862,1023.0,
1721884438.887,1023.0,
1721884438.912,1023.0,
1721884438.937,1023.0,
1721884438.9620001,1023.0,
1721884438.987,0.0,
1721884439.012,0.0,
1721884439.037,0.0,
1721884439.062,0.0,
1721884439.087,0.0,
1721884439.112,0.0,
1721884439.1369998,0.0,
1721884439.162,0.0,
1721884439.1869998,0.0,
1721884439.212,0.0,
1721884439.237,0.0,
1721884439.2619998,0.0,
1721884439.287,-302.0,
1721884439.3119998,218.0,
1721884439.337,444.0,
1721884439.362,668.0,
1721884439.3869998,1002.0,
1721884439.412,1023.0,
1721884439.4369998,1023.0,
1721884439.462,1023.0,
1721884439.487,1023.0,
1721884439.512,1023.0,
1721884439.537,1023.0,
1721884439.562,1023.0,
1721884439.587,1023.0,
1721884439.612,904.0,
1721884439.637,733.0,
1721884439.662,1023.0,
1721884439.687,1023.0,
1721884439.712,1023.0,
1721884439.737,1023.0,
1721884439.762,498.0,
1721884439.787,-828.0,
1721884439.812,0.0,
1721884439.837,0.0,
1721884439.862,0.0,
1721884439.8869998,0.0,
1721884439.912,0.0,
1721884439.9369998,0.0,
1721884439.962,0.0,
1721884439.9869998,0.0,
1721884440.0119998,0.0,
1721884440.037,0.0,
1721884440.0619998,0.0,
1721884440.087,0.0,
1721884440.1119998,0.0,
1721884440.1369998,0.0,
1721884440.162,444.0,
1721884440.1869998,1023.0,
1721884440.212,1023.0,
1721884440.2369998,0.0,
1721884440.2619998,0.0,
1721884440.287,0.0,
1721884440.312,0.0,
1721884440.337,0.0,
1721884440.362,0.0,
1721884440.3869998,0.0,
1721884440.412,0.0,
1721884440.437,0.0,
1721884440.462,0.0,
1721884440.487,0.0,
1721884440.5119998,1023.0,
1721884440.537,1023.0,
1721884440.562,1023.0,
1721884440.587,1023.0,
1721884440.612,1023.0,
1721884440.6369998,1023.0,
1721884440.662,1023.0,
1721884440.687,1023.0,
1721884440.7120001,1023.0,
1721884440.737,1023.0,
1721884440.762,1023.0,
1721884440.787,1023.0,
1721884440.812,1023.0,
1721884440.8370001,1023.0,
1721884440.862,1023.0,
1721884440.887,1023.0,
1721884440.912,1023.0,
1721884440.937,1023.0,
1721884440.9620001,802.0,
1721884440.987,477.0,
1721884441.012,125.0,
1721884441.037,-213.0,
1721884441.062,-495.0,
1721884441.087,-736.0,
1721884441.112,-984.0,
1721884441.1369998,0.0,
1721884441.162,0.0,
1721884441.1869998,0.0,
1721884441.212,0.0,
1721884441.237,0.0,
1721884441.2619998,0.0,
1721884441.287,0.0,
1721884441.3119998,0.0,
1721884441.337,0.0,
1721884441.362,0.0,
1721884441.3869998,0.0,
1721884441.412,0.0,
1721884441.4369998,0.0,
1721884441.462,0.0,
1721884441.487,0.0,
1721884441.512,0.0,
1721884441.537,0.0,
1721884441.562,0.0,
1721884441.587,0.0,
1721884441.612,0.0,
1721884441.637,-999.0,
1721884441.662,-781.0,
1721884441.687,-543.0,
1721884441.712,-280.0,
1721884441.737,-4.0,
1721884441.762,278.0,
1721884441.787,572.0,
1721884441.812,887.0,
1721884441.837,1023.0,
1721884441.862,1023.0,
1721884441.8869998,1023.0,
1721884441.912,1023.0,
1721884441.9369998,1023.0,
1721884441.962,1023.0,
1721884441.9869998,1023.0,
1721884442.0119998,1023.0,
1721884442.037,1023.0,
1721884442.0619998,1023.0,
1721884442.087,1023.0,
1721884442.1119998,1023.0,
1721884442.1369998,1023.0,
1721884442.162,1023.0,
1721884442.1869998,1023.0,
1721884442.212,1023.0,
1721884442.2369998,1023.0,
1721884442.2619998,1023.0,
1721884442.287,1023.0,
1721884442.312,1023.0,
1721884442.337,1023.0,
1721884442.362,540.0,
1721884442.3869998,-633.0,
1721884442.412,0.0,
1721884442.437,0.0,
1721884442.462,0.0,
1721884442.487,0.0,
1721884442.5119998,0.0,
1721884442.537,0.0,
1721884442.562,0.0,
1721884442.587,0.0,
1721884442.612,0.0,
1721884442.6369998,0.0,
1721884442.662,0.0,
1721884442.687,0.0,
1721884442.7120001,0.0,
1721884442.737,0.0,
1721884442.762,0.0,
1721884442.787,0.0,
1721884442.812,0.0,
1721884442.8370001,0.0,
1721884442.862,0.0,
1721884442.887,0.0,
1721884442.912,1023.0,
1721884442.937,1023.0,
1721884442.9620001,1023.0,
1721884442.987,1023.0,
1721884443.012,1023.0,
1721884443.037,1023.0,
1721884443.062,1023.0,
1721884443.087,1023.0,
1721884443.112,1023.0,
1721884443.1369998,1023.0,
1721884443.162,1023.0,
1721884443.1869998,1023.0,
1721884443.212,1023.0,
1721884443.237,1023.0,
1721884443.2619998,1023.0,
1721884443.287,1023.0,
1721884443.3119998,-160.0,
1721884443.337,0.0,
1721884443.362,-861.0,
1721884443.3869998,139.0,
1721884443.412,243.0,
1721884443.4369998,-769.0,
1721884443.462,0.0,
1721884443.487,0.0,
1721884443.512,0.0,
1721884443.537,-225.0,
1721884443.562,71.0,
1721884443.587,-631.0,
1721884443.612,0.0,
1721884443.637,0.0,
1721884443.662,0.0,
1721884443.687,0.0,
1721884443.712,0.0,
1721884443.737,0.0,
1721884443.762,0.0,
1721884443.787,0.0,
1721884443.812,0.0,
1721884443.837,0.0,
1721884443.862,0.0,
1721884443.8869998,0.0,
1721884443.912,0.0,
1721884443.9369998,0.0,
1721884443.962,0.0,
1721884443.9869998,0.0,
1721884444.0119998,0.0,
1721884444.037,0.0,
1721884444.0619998,0.0,
1721884444.087,-958.0,
1721884444.1119998,-871.0,
1721884444.1369998,-806.0,
1721884444.162,-800.0,
1721884444.1869998,-770.0,
1721884444.212,-520.0,
1721884444.2369998,69.0,
1721884444.2619998,838.0,
1721884444.287,1023.0,
1721884444.312,1023.0,
1721884444.337,879.0,
1721884444.362,228.0,
1721884444.3869998,-147.0,
1721884444.412,-153.0,
1721884444.437,-35.0,
1721884444.462,-77.0,
1721884444.487,-287.0,
1721884444.5119998,-374.0,
1721884444.537,-36.0,
1721884444.562,739.0,
1721884444.587,1023.0,
1721884444.612,1023.0,
1721884444.6369998,1023.0,
1721884444.662,1023.0,
1721884444.687,1023.0,
1721884444.7120001,523.0,
1721884444.737,98.0,
1721884444.762,-140.0,
1721884444.787,-234.0,
1721884444.812,-236.0,
1721884444.8370001,-209.0,
1721884444.862,-235.0,
1721884444.887,-371.0,
1721884444.912,-602.0,
1721884444.937,-835.0,
1721884444.9620001,-964.0,
1721884444.987,-957.0,
1721884445.012,-865.0,
1721884445.037,-769.0,
1721884445.062,-696.0,
1721884445.087,-607.0,
1721884445.112,-456.0,
1721884445.1369998,-257.0,
1721884445.162,-77.0,
1721884445.1869998,32.0,
1721884445.212,98.0,
1721884445.237,202.0,
1721884445.2619998,397.0,
1721884445.287,659.0,
1721884445.3119998,912.0,
1721884445.337,1023.0,
1721884445.362,1023.0,
1721884445.3869998,1023.0,
1721884445.412,1023.0,
1721884445.4369998,1023.0,
1721884445.462,940.0,
1721884445.487,722.0,
1721884445.512,665.0,
1721884445.537,771.0,
1721884445.562,884.0,
1721884445.587,810.0,
1721884445.612,505.0,
1721884445.637,119.0,
1721884445.662,-128.0,
1721884445.687,-126.0,
1721884445.712,56.0,
1721884445.737,255.0,
1721884445.762,352.0,
1721884445.787,331.0,
1721884445.812,244.0,
