time,battery
1721885277.171,54,
1721885278.683,54,
1721885279.704,54,
1721885280.218,54,
1721885281.687,54,
1721885282.193,54,
1721885283.213,54,
1721885284.208,54,
1721885285.2,54,
1721885286.699,54,
1721885287.185,54,
1721885288.173,54,
1721885289.175,54,
1721885290.172,54,
1721885291.161,54,
1721885292.647,54,
1721885293.648,54,
1721885294.152,54,
1721885295.138,54,
1721885296.15,54,
1721885297.157,54,
1721885298.139,54,
1721885299.133,54,
1721885300.14,54,
1721885301.643,54,
1721885302.671,54,
1721885303.659,54,
1721885304.662,54,
1721885305.149,54,
1721885306.164,54,
1721885307.164,54,
1721885308.179,54,
1721885309.176,54,
1721885310.177,54,
1721885311.142,54,
1721885312.146,54,
1721885313.149,54,
1721885314.168,54,
1721885315.679,54,
1721885316.176,54,
1721885317.17,54,
1721885318.161,54,
1721885319.163,54,
1721885320.141,54,
1721885321.156,54,
1721885322.164,54,
1721885323.171,54,
1721885324.188,54,
1721885325.183,54,
1721885327.664,54,
1721885330.179,54,
1721885331.151,54,
1721885332.155,54,
1721885333.156,54,
1721885334.63,54,
1721885335.144,54,
1721885336.655,54,
1721885337.148,54,
1721885338.152,54,
1721885339.146,54,
1721885340.126,54,
1721885341.111,54,
1721885342.093,54,
1721885343.087,54,
1721885344.08,54,
1721885345.07,54,
1721885346.067,54,
1721885347.095,54,
1721885348.092,54,
1721885349.078,54,
1721885350.08,54,
1721885354.992,54,
1721885356.005,54,
1721885356.981,54,
1721885358.505,54,
1721885359.006,54,
1721885360.014,54,
1721885361.038,54,
1721885363.488,54,
1721885364.004,54,
1721885365.482,54,
1721885366.504,54,
1721885367.008,54,
1721885368.496,54,
1721885368.998,54,
1721885370.488,54,
1721885372.004,54,
1721885373.479,54,
1721885374.501,54,
1721885375.001,54,
1721885376.502,54,
1721885376.999,54,
1721885378.49,54,
1721885378.991,54,
1721885380.51,54,
1721885381.013,54,
1721885383.019,54,
1721885382.02,54,
1721885384.033,54,
1721885386.041,54,
1721885387.533,54,
1721885388.019,54,
