time,quality_max
1721885947.503,60,
1721885948.502,60,
1721885949.498,60,
1721885950.494,44,
1721885951.999,43,
1721885953.005,43,
1721885953.515,72,
1721885954.49,74,
1721885955.484,74,
1721885956.489,74,
1721885958.449,74,
1721885959.417,74,
1721885960.424,66,
1721885961.402,66,
1721885962.391,66,
1721885963.39,66,
1721885964.383,66,
1721885965.403,66,
1721885966.39,63,
1721885967.38,63,
1721885968.376,62,
1721885969.855,63,
1721885970.334,63,
1721885971.321,63,
1721885971.324,63,
1721885973.316,63,
1721885974.327,67,
1721885974.809,67,
1721885976.812,67,
1721885977.31,73,
1721885980.309,73,
1721885980.294,73,
1721885982.771,73,
1721885983.282,68,
1721885983.785,68,
1721885985.264,68,
1721885986.259,68,
1721885986.254,68,
1721885988.733,68,
1721885989.746,50,
1721885989.72,50,
1721885990.227,55,
1721885992.214,78,
1721885992.207,78,
1721885993.225,78,
1721885995.719,78,
1721885995.228,78,
1721885996.212,78,
1721885998.216,71,
1721885998.71,71,
1721885999.706,71,
1721886001.19,67,
1721886004.177,67,
1721886005.151,67,
1721886007.162,65,
1721886007.166,65,
1721886008.153,64,
1721886010.163,69,
1721886010.145,69,
1721886011.137,69,
1721886012.117,69,
1721886014.1,69,
1721886015.099,69,
1721886016.077,46,
1721886017.564,46,
1721886019.054,44,
1721886020.058,44,
1721886021.059,57,
1721886022.052,57,
1721886023.564,61,
1721886024.066,61,
1721886025.059,69,
1721886027.059,69,
1721886028.546,69,
1721886029.569,69,
1721886030.061,69,
1721886031.083,76,
1721886032.087,80,
1721886033.093,80,
1721886034.112,80,
1721886035.091,80,
1721886036.1,80,
1721886037.605,80,
1721886038.09,57,
1721886039.095,51,
1721886040.102,51,
1721886041.093,51,
1721886042.08,58,
1721886043.1,74,
1721886044.085,74,
1721886045.101,74,
