time,heart_rate
1721885441.345,87,
1721885442.336,86,
1721885442.833,86,
1721885443.815,86,
1721885444.826,87,
1721885445.838,88,
1721885447.846,87,
1721885448.877,87,
1721885450.385,85,
1721885450.882,85,
1721885453.387,86,
1721885453.88,87,
1721885454.868,89,
1721885455.879,90,
1721885457.386,91,
1721885457.886,91,
1721885459.882,90,
1721885460.849,90,
1721885462.33,89,
1721885463.311,89,
1721885463.816,89,
1721885465.313,88,
1721885465.808,89,
1721885466.798,89,
1721885468.295,89,
1721885469.801,88,
1721885471.286,87,
1721885471.788,87,
1721885472.798,87,
1721885473.824,87,
1721885474.828,88,
1721885476.832,88,
1721885477.842,88,
1721885479.794,86,
1721885480.808,85,
1721885482.291,84,
1721885482.778,83,
1721885483.761,83,
1721885487.224,82,
1721885489.209,85,
1721885489.707,86,
1721885490.698,85,
1721885492.184,85,
1721885493.172,85,
1721885494.652,85,
1721885496.176,85,
1721885498.69,87,
1721885500.176,88,
1721885501.164,87,
1721885502.671,87,
1721885505.634,89,
1721885506.636,91,
1721885508.141,92,
1721885509.649,94,
1721885511.124,95,
1721885512.607,96,
1721885513.601,98,
1721885514.571,99,
1721885516.084,100,
1721885516.579,101,
1721885518.062,101,
1721885518.561,101,
1721885519.563,102,
1721885520.566,102,
1721885521.545,102,
1721885522.548,101,
1721885523.556,100,
1721885524.549,99,
1721885525.539,99,
1721885527.036,99,
1721885527.526,98,
1721885529.021,99,
1721885530.037,98,
1721885530.533,98,
1721885532.014,98,
1721885532.503,98,
1721885533.525,98,
1721885535.014,91,
1721885535.517,89,
1721885537.019,87,
1721885537.524,86,
1721885538.538,87,
1721885540.013,87,
1721885540.504,89,
1721885541.506,90,
1721885542.512,89,
1721885543.516,89,
1721885545.027,86,
1721885545.536,83,
1721885547.035,81,
1721885547.538,80,
1721885548.524,79,
1721885549.507,79,
1721885550.504,80,
1721885551.508,81,
1721885553.507,81,
1721885553.005,81,
1721885554.507,80,
1721885555.502,80,
1721885556.528,80,
1721885557.519,80,
1721885560.037,80,
1721885561.028,80,
1721885561.525,80,
1721885563.006,80,
1721885563.502,80,
1721885565.011,81,
1721885566.009,80,
1721885566.499,81,
1721885567.5,81,
1721885568.489,82,
1721885569.49,82,
1721885570.483,81,
1721885572.503,82,
1721885573.49,80,
1721885574.495,81,
1721885575.492,79,
1721885577.481,79,
1721885578.501,81,
1721885580.0,79,
1721885580.499,79,
1721885581.479,79,
1721885582.502,85,
1721885583.465,81,
1721885584.455,85,
1721885585.461,84,
1721885586.464,84,
1721885587.454,83,
1721885588.451,82,
1721885589.928,82,
1721885590.407,81,
1721885591.418,82,
1721885592.436,82,
1721885593.444,82,
1721885594.437,81,
1721885595.96,81,
1721885597.457,78,
1721885598.465,77,
1721885599.477,76,
1721885600.464,76,
1721885601.46,77,
1721885602.97,78,
1721885604.446,77,
1721885605.945,77,
1721885606.438,77,
1721885607.465,77,
1721885608.459,77,
1721885610.466,82,
1721885609.453,77,
1721885612.499,78,
1721885613.498,80,
1721885614.962,78,
1721885615.46,77,
1721885616.455,77,
1721885617.447,77,
1721885618.445,77,
1721885619.442,77,
1721885620.426,82,
1721885622.416,87,
1721885623.899,87,
1721885624.397,87,
1721885625.386,86,
1721885626.893,84,
1721885627.888,83,
1721885628.38,84,
1721885629.871,83,
1721885630.865,83,
1721885631.372,87,
1721885632.865,88,
1721885633.87,86,
1721885634.879,91,
1721885635.364,86,
1721885636.355,86,
1721885637.868,85,
1721885638.361,85,
1721885639.84,86,
1721885640.358,86,
1721885642.868,87,
1721885643.363,87,
1721885644.373,86,
1721885645.86,86,
1721885646.367,85,
1721885648.867,83,
1721885649.379,83,
1721885650.383,82,
1721885652.393,82,
1721885654.39,82,
1721885655.402,85,
1721885656.399,83,
1721885657.407,83,
1721885658.411,82,
1721885659.899,81,
1721885660.881,81,
1721885661.378,82,
1721885662.854,83,
1721885663.851,84,
1721885664.358,85,
1721885666.363,84,
1721885667.842,84,
1721885668.35,84,
1721885669.364,84,
1721885670.372,85,
1721885671.881,85,
1721885672.379,85,
1721885673.371,84,
1721885674.35,83,
1721885675.847,82,
1721885676.865,82,
1721885677.355,83,
1721885678.841,84,
1721885681.344,83,
1721885682.327,82,
1721885683.329,82,
1721885684.343,81,
1721885685.34,81,
1721885686.347,81,
1721885687.347,81,
1721885688.349,81,
1721885689.857,80,
1721885690.366,81,
1721885691.375,81,
1721885692.372,82,
1721885693.366,82,
1721885694.361,82,
1721885695.34,82,
1721885696.852,83,
1721885698.333,84,
1721885699.347,85,
1721885700.327,84,
1721885701.811,84,
1721885704.285,86,
1721885706.256,87,
1721885707.255,87,
1721885707.251,87,
1721885709.222,87,
1721885710.249,86,
1721885710.247,86,
1721885712.728,86,
1721885713.228,87,
1721885713.205,87,
1721885715.204,87,
1721885716.692,87,
1721885716.681,87,
1721885717.185,87,
1721885719.184,87,
1721885719.187,87,
1721885720.175,87,
1721885722.153,87,
1721885722.15,87,
1721885723.138,87,
1721885725.129,87,
1721885729.061,84,
1721885730.078,84,
1721885731.083,83,
1721885732.083,83,
1721885733.546,83,
1721885734.044,83,
1721885735.059,83,
1721885736.059,81,
1721885737.052,81,
1721885738.526,81,
1721885739.029,82,
1721885740.023,82,
1721885742.018,82,
1721885744.012,82,
1721885745.003,82,
1721885746.513,84,
1721885746.022,85,
1721885747.026,88,
1721885748.037,89,
1721885749.048,90,
1721885750.071,91,
1721885753.084,90,
1721885754.08,92,
1721885755.078,90,
1721885756.055,90,
1721885757.061,90,
1721885758.039,90,
1721885759.04,90,
1721885760.041,86,
1721885761.055,84,
1721885763.536,82,
1721885764.022,81,
1721885765.046,81,
1721885766.045,81,
1721885767.532,81,
1721885769.022,83,
1721885771.497,88,
1721885771.997,85,
1721885772.999,90,
1721885774.485,91,
1721885775.482,94,
1721885780.452,87,
1721885780.95,86,
1721885781.907,86,
1721885783.416,86,
1721885783.92,87,
1721885785.42,87,
1721885786.414,87,
1721885787.4,86,
1721885787.889,89,
1721885788.887,90,
1721885789.883,92,
1721885790.865,90,
1721885791.867,90,
1721885792.863,90,
1721885794.346,85,
1721885794.847,83,
1721885795.846,81,
1721885796.86,80,
1721885797.841,79,
1721885798.838,80,
1721885800.328,80,
1721885801.802,82,
1721885802.816,83,
1721885804.312,82,
