time,temperature
1721885299.133,36.29,
1721885300.14,36.29,
1721885301.643,36.29,
1721885302.671,36.29,
1721885303.659,36.29,
1721885304.662,36.29,
1721885305.149,36.29,
1721885306.164,36.29,
1721885307.164,36.29,
1721885308.179,36.29,
1721885309.176,36.29,
1721885310.177,36.29,
1721885311.142,36.29,
1721885312.146,36.29,
1721885313.149,36.29,
1721885314.168,36.29,
1721885315.679,36.33,
1721885316.176,36.33,
1721885317.17,36.33,
1721885318.161,36.33,
1721885319.163,36.33,
1721885320.141,36.33,
1721885321.156,36.33,
1721885322.164,36.33,
1721885323.171,36.33,
1721885324.188,36.33,
1721885325.183,36.28,
1721885327.664,36.28,
1721885330.179,36.28,
1721885331.151,36.28,
1721885332.155,36.28,
1721885333.156,36.28,
1721885334.63,36.28,
1721885335.144,36.28,
1721885336.655,36.33,
1721885337.148,36.33,
1721885338.152,36.33,
1721885339.146,36.33,
1721885340.126,36.33,
1721885341.111,36.33,
1721885342.093,36.33,
1721885343.087,36.33,
1721885344.08,36.33,
1721885345.07,36.33,
1721885346.067,36.32,
1721885347.095,36.32,
1721885348.092,36.32,
1721885349.078,36.32,
1721885350.08,36.32,
1721885354.992,36.32,
1721885356.005,36.34,
1721885356.981,36.34,
1721885358.505,36.34,
1721885359.006,36.34,
1721885360.014,36.34,
1721885361.038,36.34,
1721885363.488,36.34,
1721885364.004,36.34,
1721885365.482,36.34,
1721885366.504,36.31,
1721885367.008,36.31,
1721885368.496,36.31,
1721885368.998,36.31,
1721885370.488,36.31,
1721885372.004,36.31,
1721885373.479,36.31,
1721885374.501,36.31,
1721885375.001,36.31,
1721885376.502,36.32,
1721885376.999,36.32,
1721885378.49,36.32,
1721885378.991,36.32,
1721885380.51,36.32,
1721885381.013,36.32,
1721885383.019,36.32,
1721885382.02,36.32,
1721885384.033,36.32,
1721885386.041,36.31,
1721885387.533,36.31,
1721885388.019,36.31,
1721885391.535,36.31,
1721885392.037,36.31,
1721885394.51,36.31,
1721885395.019,36.31,
1721885396.007,36.33,
1721885397.017,36.33,
1721885398.01,36.33,
1721885399.482,36.33,
1721885399.976,36.33,
1721885400.945,36.33,
1721885401.953,36.33,
1721885402.967,36.33,
1721885403.938,36.33,
1721885404.959,36.33,
1721885405.942,36.32,
1721885406.958,36.32,
1721885408.463,36.32,
1721885408.962,36.32,
1721885410.463,36.32,
1721885410.955,36.32,
1721885411.937,36.32,
1721885412.929,36.32,
1721885414.434,36.32,
1721885415.405,36.32,
1721885415.899,36.32,
1721885416.899,36.32,
1721885417.895,36.32,
1721885419.379,36.32,
1721885419.89,36.32,
1721885420.898,36.32,
1721885421.898,36.32,
1721885422.92,36.32,
1721885423.888,36.32,
1721885424.883,36.32,
1721885425.861,36.33,
1721885427.366,36.33,
1721885428.87,36.33,
1721885429.846,36.33,
1721885430.833,36.33,
1721885432.838,36.33,
1721885433.834,36.33,
1721885434.842,36.33,
1721885435.832,36.36,
1721885437.327,36.36,
1721885437.847,36.36,
1721885438.849,36.36,
1721885439.858,36.36,
1721885441.345,36.36,
1721885442.336,36.36,
1721885442.833,36.36,
1721885443.815,36.36,
1721885444.826,36.36,
1721885445.838,36.36,
1721885447.846,36.36,
1721885448.877,36.36,
1721885450.385,36.36,
1721885450.882,36.36,
1721885453.387,36.36,
1721885453.88,36.36,
1721885454.868,36.36,
1721885455.879,36.35,
1721885457.386,36.35,
1721885457.886,36.35,
1721885459.882,36.35,
1721885460.849,36.35,
1721885462.33,36.35,
1721885463.311,36.35,
1721885463.816,36.35,
1721885465.313,36.35,
1721885465.808,36.29,
1721885466.798,36.29,
1721885468.295,36.29,
1721885469.801,36.29,
1721885471.286,36.29,
1721885471.788,36.29,
1721885472.798,36.29,
1721885473.824,36.29,
1721885474.828,36.29,
1721885476.832,36.36,
1721885477.842,36.36,
1721885479.794,36.36,
1721885480.808,36.36,
1721885482.291,36.36,
1721885482.778,36.36,
1721885483.761,36.36,
1721885487.224,36.35,
1721885489.209,36.35,
1721885489.707,36.35,
1721885490.698,36.35,
1721885492.184,36.35,
1721885493.172,36.35,
1721885494.652,36.35,
1721885496.176,36.38,
1721885498.69,36.38,
1721885500.176,36.38,
1721885501.164,36.38,
1721885502.671,36.38,
1721885505.634,36.32,
1721885506.636,36.32,
1721885508.141,36.32,
1721885509.649,36.32,
1721885511.124,36.32,
1721885512.607,36.32,
1721885513.601,36.32,
1721885514.571,36.32,
1721885516.084,36.34,
1721885516.579,36.34,
1721885518.062,36.34,
1721885518.561,36.34,
1721885519.563,36.34,
1721885520.566,36.34,
1721885521.545,36.34,
1721885522.548,36.34,
1721885523.556,36.34,
1721885524.549,36.34,
1721885525.539,36.36,
1721885527.036,36.36,
1721885527.526,36.36,
1721885529.021,36.36,
1721885530.037,36.36,
1721885530.533,36.36,
1721885532.014,36.36,
1721885532.503,36.36,
1721885533.525,36.36,
1721885535.014,36.36,
1721885535.517,36.36,
1721885537.019,36.36,
1721885537.524,36.36,
1721885538.538,36.36,
1721885540.013,36.36,
1721885540.504,36.36,
1721885541.506,36.36,
1721885542.512,36.36,
1721885543.516,36.36,
1721885545.027,36.36,
1721885545.536,36.36,
1721885547.035,36.36,
1721885547.538,36.36,
1721885548.524,36.36,
1721885549.507,36.36,
1721885550.504,36.36,
1721885551.508,36.36,
1721885553.507,36.36,
1721885553.005,36.36,
1721885554.507,36.36,
1721885555.502,36.33,
1721885556.528,36.33,
1721885557.519,36.33,
1721885560.037,36.33,
1721885561.028,36.33,
1721885561.525,36.33,
1721885563.006,36.33,
1721885563.502,36.33,
1721885565.011,36.33,
1721885566.009,36.33,
1721885566.499,36.33,
1721885567.5,36.33,
1721885568.489,36.33,
1721885569.49,36.33,
1721885570.483,36.33,
1721885572.503,36.33,
1721885573.49,36.33,
1721885574.495,36.33,
1721885575.492,36.35,
1721885577.481,36.35,
1721885578.501,36.35,
1721885580.0,36.35,
1721885580.499,36.35,
1721885581.479,36.35,
1721885582.502,36.35,
1721885583.465,36.35,
1721885584.455,36.35,
1721885585.461,36.39,
1721885586.464,36.39,
1721885587.454,36.39,
1721885588.451,36.39,
1721885589.928,36.39,
1721885590.407,36.39,
1721885591.418,36.39,
1721885592.436,36.39,
1721885593.444,36.39,
1721885594.437,36.39,
1721885595.96,36.33,
1721885597.457,36.33,
1721885598.465,36.33,
1721885599.477,36.33,
1721885600.464,36.33,
1721885601.46,36.33,
1721885602.97,36.33,
1721885604.446,36.33,
1721885605.945,36.35,
1721885606.438,36.35,
1721885607.465,36.35,
1721885608.459,36.35,
1721885610.466,36.35,
1721885609.453,36.35,
1721885612.499,36.35,
1721885613.498,36.35,
1721885614.962,36.35,
1721885615.46,36.35,
1721885616.455,36.35,
1721885617.447,36.35,
1721885618.445,36.35,
1721885619.442,36.35,
1721885620.426,36.35,
1721885622.416,36.35,
1721885623.899,36.35,
1721885624.397,36.35,
1721885625.386,36.31,
1721885626.893,36.31,
1721885627.888,36.31,
1721885628.38,36.31,
1721885629.871,36.31,
1721885630.865,36.31,
1721885631.372,36.31,
1721885632.865,36.31,
1721885633.87,36.31,
1721885634.879,36.31,
1721885635.364,36.33,
1721885636.355,36.33,
1721885637.868,36.33,
1721885638.361,36.33,
1721885639.84,36.33,
1721885640.358,36.33,
1721885642.868,36.33,
1721885643.363,36.33,
1721885644.373,36.33,
1721885645.86,36.32,
1721885646.367,36.32,
1721885648.867,36.32,
1721885649.379,36.32,
1721885650.383,36.32,
1721885652.393,36.32,
1721885654.39,36.32,
1721885655.402,36.35,
1721885656.399,36.35,
1721885657.407,36.35,
1721885658.411,36.35,
1721885659.899,36.35,
1721885660.881,36.35,
1721885661.378,36.35,
1721885662.854,36.35,
1721885663.851,36.35,
1721885664.358,36.35,
1721885666.363,36.36,
1721885667.842,36.36,
1721885668.35,36.36,
1721885669.364,36.36,
1721885670.372,36.36,
1721885671.881,36.36,
1721885672.379,36.36,
1721885673.371,36.36,
1721885674.35,36.36,
1721885675.847,36.33,
1721885676.865,36.33,
1721885677.355,36.33,
1721885678.841,36.33,
1721885681.344,36.33,
1721885682.327,36.33,
1721885683.329,36.33,
1721885684.343,36.33,
1721885685.34,36.32,
1721885686.347,36.32,
1721885687.347,36.32,
1721885688.349,36.32,
1721885689.857,36.32,
1721885690.366,36.32,
1721885691.375,36.32,
1721885692.372,36.32,
1721885693.366,36.32,
1721885694.361,36.32,
1721885695.34,36.34,
1721885696.852,36.34,
1721885698.333,36.34,
1721885699.347,36.34,
1721885700.327,36.34,
1721885701.811,36.34,
1721885704.285,36.34,
1721885706.256,36.34,
1721885707.255,36.34,
1721885708.251,36.34,
1721885709.222,36.34,
1721885710.249,36.34,
1721885711.247,36.34,
1721885712.728,36.34,
1721885713.228,36.34,
1721885714.205,36.34,
1721885715.204,36.34,
1721885716.692,36.37,
1721885717.681,36.37,
1721885718.185,36.37,
1721885719.184,36.37,
1721885720.187,36.37,
1721885721.175,36.37,
1721885722.153,36.37,
1721885723.15,36.37,
1721885724.138,36.37,
1721885726.129,36.31,
1721885730.061,36.31,
1721885731.078,36.31,
1721885732.083,36.31,
1721885733.083,36.31,
1721885734.546,36.31,
