time,tech_perfusion
1721885020.293,0.38,
1721885020.8,0.44,
1721885022.3,0.45,
1721885022.803,0.44,
1721885024.296,0.52,
1721885024.795,0.28,
1721885026.275,0.34,
1721885027.777,0.43,
1721885030.282,0.41,
1721885030.785,0.48,
1721885031.782,0.4,
1721885032.779,0.4,
1721885033.771,0.32,
1721885034.777,0.37,
1721885035.769,0.26,
1721885036.783,0.33,
1721885037.776,0.33,
1721885038.79,0.33,
1721885039.77,0.69,
1721885040.773,0.21,
1721885041.758,0.38,
1721885043.253,0.3,
1721885044.254,0.34,
1721885044.764,0.4,
1721885046.267,0.35,
1721885046.764,0.41,
1721885047.758,0.41,
1721885050.239,0.44,
1721885050.739,0.44,
1721885051.751,0.35,
1721885053.262,0.27,
1721885053.758,0.5,
1721885054.76,0.43,
1721885057.721,0.34,
1721885058.711,0.24,
1721885059.711,0.49,
1721885060.725,0.49,
1721885061.744,0.52,
1721885062.727,0.52,
1721885063.717,0.5,
1721885065.227,1.12,
1721885066.236,2.43,
1721885066.74,0.67,
1721885069.244,0.73,
1721885070.259,0.78,
1721885070.739,0.48,
1721885071.759,0.37,
1721885072.757,0.89,
1721885073.78,0.67,
1721885075.244,0.54,
1721885076.223,0.53,
1721885077.706,0.41,
1721885078.689,0.51,
1721885079.696,0.36,
1721885080.69,0.4,
1721885081.688,0.44,
1721885082.691,0.39,
1721885083.68,0.28,
1721885085.187,0.42,
1721885085.686,0.4,
1721885086.667,0.4,
1721885088.167,0.38,
1721885089.141,0.99,
1721885089.666,0.42,
1721885091.631,0.41,
1721885092.661,0.36,
1721885094.157,0.34,
1721885094.66,0.34,
1721885095.638,0.34,
1721885097.124,0.28,
1721885097.626,0.27,
1721885098.611,0.32,
1721885100.147,0.28,
1721885101.132,0.25,
1721885102.613,0.23,
1721885103.57,0.54,
1721885105.055,0.27,
1721885105.564,0.27,
1721885106.548,0.26,
1721885108.052,0.6,
1721885108.548,0.55,
1721885110.045,0.55,
1721885110.549,0.34,
1721885111.527,0.52,
1721885112.51,0.53,
1721885113.499,0.35,
1721885114.983,0.35,
1721885115.484,0.35,
1721885116.482,0.97,
1721885118.003,1.01,
1721885118.505,0.33,
1721885119.496,0.63,
1721885120.5,0.34,
1721885121.491,0.34,
1721885122.49,0.45,
1721885125.011,0.56,
1721885125.505,0.56,
1721885127.499,0.54,
1721885128.499,0.65,
1721885130.006,0.6,
1721885130.486,0.58,
1721885131.972,0.79,
1721885133.983,0.66,
1721885134.485,0.79,
1721885135.48,0.58,
1721885136.97,0.58,
1721885137.464,1.01,
1721885138.446,1.01,
1721885139.452,0.82,
1721885140.438,0.82,
1721885141.917,0.68,
1721885142.424,0.76,
1721885143.439,0.64,
1721885144.441,0.62,
1721885145.454,0.81,
1721885146.446,0.74,
1721885147.466,0.68,
1721885148.464,0.8,
1721885149.97,0.9,
1721885150.464,0.94,
1721885151.96,0.71,
1721885152.475,0.71,
1721885154.486,0.53,
1721885155.999,0.59,
1721885156.487,0.59,
1721885157.978,0.63,
1721885158.966,0.53,
1721885159.483,0.53,
1721885160.496,0.42,
1721885161.48,0.4,
1721885162.972,0.45,
1721885163.466,0.46,
1721885164.962,0.36,
1721885165.478,0.4,
1721885166.457,0.4,
1721885167.934,0.46,
1721885168.454,0.52,
1721885169.439,0.45,
1721885170.928,0.41,
1721885172.428,0.24,
1721885173.924,0.19,
1721885174.922,0.5,
1721885175.916,0.46,
1721885177.45,0.57,
1721885178.452,0.53,
1721885179.936,0.53,
1721885180.436,0.46,
1721885181.417,0.5,
1721885182.416,0.53,
1721885183.412,0.47,
1721885184.413,0.46,
1721885185.435,0.43,
1721885186.418,0.4,
1721885187.903,0.4,
1721885188.402,0.46,
1721885189.399,0.3,
1721885190.893,0.34,
1721885192.383,0.43,
1721885193.376,0.43,
1721885194.362,0.36,
1721885195.881,0.36,
1721885196.401,0.44,
1721885197.381,0.44,
1721885198.398,0.51,
1721885200.9,0.27,
1721885201.901,0.17,
1721885203.394,0.57,
1721885204.874,0.5,
1721885205.377,0.45,
1721885206.374,0.54,
1721885207.885,0.47,
1721885208.381,0.63,
1721885209.378,0.47,
1721885210.364,0.47,
1721885211.861,1.13,
1721885212.36,0.61,
1721885213.362,0.13,
1721885214.365,0.35,
1721885215.364,0.35,
1721885217.841,0.38,
1721885218.337,0.38,
1721885219.347,0.21,
1721885220.841,0.62,
1721885221.331,0.49,
1721885222.828,0.5,
1721885223.837,0.5,
1721885225.816,0.46,
1721885227.313,0.49,
1721885229.803,0.83,
