time,perfusion
1721885241.29,0.49,
1721885242.301,0.49,
1721885243.815,0.49,
1721885245.328,0.49,
1721885246.309,0.49,
1721885247.295,0.49,
1721885248.287,0.49,
1721885249.288,0.49,
1721885250.281,0.49,
1721885251.288,0.49,
1721885252.295,0.49,
1721885254.28,0.49,
1721885254.259,0.49,
1721885254.259,0.49,
1721885254.227,0.49,
1721885254.225,0.49,
1721885254.225,0.49,
1721885254.238,0.49,
1721885254.249,0.49,
1721885254.227,0.49,
1721885254.227,0.49,
1721885254.222,0.49,
1721885254.211,0.49,
1721885254.736,0.49,
1721885254.725,0.49,
1721885254.216,0.49,
1721885254.19,0.49,
1721885254.201,0.49,
1721885254.194,0.49,
1721885254.204,0.49,
1721885254.171,0.49,
1721885254.683,0.49,
1721885254.704,0.49,
1721885254.218,0.49,
1721885254.687,0.49,
1721885254.193,0.49,
1721885254.213,0.49,
1721885254.208,0.49,
1721885254.2,0.49,
1721885254.699,0.49,
1721885254.185,0.49,
1721885254.173,0.49,
1721885254.175,0.49,
1721885254.172,0.49,
1721885254.161,0.49,
1721885254.647,0.49,
1721885254.648,0.49,
1721885254.152,0.49,
1721885254.138,0.49,
1721885254.15,0.49,
1721885254.157,0.49,
1721885254.139,0.49,
1721885254.133,0.49,
1721885254.14,0.49,
1721885254.643,0.49,
1721885254.671,0.49,
1721885254.659,0.49,
1721885254.662,0.49,
1721885254.149,0.49,
1721885254.164,0.49,
1721885254.164,0.49,
1721885254.179,0.49,
1721885308.176,0.53,
1721885309.177,0.53,
1721885310.142,0.53,
1721885311.146,0.53,
1721885312.149,0.53,
1721885313.168,0.53,
1721885314.679,0.53,
1721885315.176,0.53,
1721885316.17,0.53,
1721885317.161,0.53,
1721885318.163,0.53,
1721885319.141,0.53,
1721885320.156,0.53,
1721885321.164,0.53,
1721885322.171,0.53,
1721885323.188,0.53,
1721885324.183,0.53,
1721885326.664,0.49,
1721885329.179,0.49,
1721885330.151,0.55,
1721885331.155,0.55,
1721885332.156,0.55,
1721885333.63,0.55,
1721885334.144,0.55,
1721885335.655,0.55,
1721885336.148,0.55,
1721885337.152,0.55,
1721885338.146,0.55,
1721885339.126,0.55,
1721885340.111,0.55,
1721885341.093,0.55,
1721885342.087,0.55,
1721885343.08,0.55,
1721885344.07,0.55,
1721885345.067,0.55,
1721885346.095,0.55,
1721885347.092,0.55,
1721885348.078,0.55,
1721885349.08,0.55,
1721885353.992,0.55,
1721885355.005,0.55,
1721885355.981,0.55,
1721885358.505,0.55,
1721885358.006,0.55,
1721885359.014,0.55,
1721885359.038,0.55,
1721885362.488,0.35,
1721885363.004,0.35,
1721885364.482,0.35,
1721885365.504,0.35,
1721885366.008,0.35,
1721885367.496,0.35,
1721885367.998,0.35,
1721885369.488,0.43,
1721885371.004,0.43,
1721885372.479,0.43,
1721885374.501,0.43,
1721885374.001,0.43,
1721885375.502,0.43,
1721885375.999,0.43,
1721885377.49,0.43,
1721885377.991,0.43,
1721885379.51,0.43,
1721885380.013,0.43,
1721885382.019,0.43,
1721885381.02,0.43,
1721885383.033,0.43,
1721885385.041,0.43,
1721885386.533,0.43,
1721885387.019,0.43,
1721885390.535,0.43,
1721885391.037,0.42,
1721885393.51,0.42,
1721885394.019,0.42,
1721885395.007,0.42,
1721885396.017,0.42,
1721885397.01,0.42,
1721885398.482,0.42,
1721885399.976,0.42,
1721885400.945,0.42,
1721885401.953,0.42,
1721885402.967,0.42,
1721885403.938,0.42,
1721885404.959,0.42,
1721885405.942,0.42,
1721885406.958,0.42,
1721885408.463,0.42,
1721885408.962,0.42,
1721885410.463,0.42,
1721885410.955,0.42,
1721885411.937,0.42,
1721885412.929,0.42,
1721885414.434,0.42,
1721885415.405,0.42,
1721885415.899,0.42,
1721885416.899,0.42,
1721885417.895,0.42,
1721885419.379,0.42,
1721885419.89,0.42,
1721885420.898,0.42,
1721885421.898,0.41,
1721885422.92,0.41,
1721885423.888,0.41,
1721885424.883,0.41,
1721885425.861,0.41,
1721885427.366,0.41,
1721885428.87,0.41,
1721885429.846,0.41,
1721885430.833,0.44,
1721885432.838,0.44,
1721885433.834,0.44,
1721885434.842,0.43,
1721885435.832,0.42,
1721885437.327,0.41,
1721885437.847,0.41,
1721885438.849,0.41,
1721885439.858,0.41,
1721885441.345,0.41,
1721885442.336,0.41,
1721885442.833,0.41,
1721885443.815,0.41,
1721885444.826,0.41,
1721885445.838,0.41,
1721885447.846,0.41,
1721885448.877,0.41,
1721885450.385,0.41,
1721885450.882,0.41,
1721885453.387,0.41,
1721885453.88,0.41,
1721885454.868,0.41,
1721885455.879,0.41,
1721885457.386,0.41,
1721885457.886,0.41,
1721885459.882,0.4,
1721885460.849,0.4,
1721885462.33,0.4,
1721885463.311,0.4,
1721885463.816,0.4,
1721885465.313,0.4,
1721885465.808,0.43,
1721885466.798,0.43,
1721885468.295,0.43,
1721885469.801,0.43,
1721885471.286,0.43,
1721885471.788,0.43,
1721885472.798,0.43,
1721885473.824,0.43,
1721885474.828,0.43,
1721885476.832,0.44,
1721885477.842,0.44,
1721885479.794,0.44,
1721885480.808,0.44,
1721885482.291,0.44,
1721885482.778,0.44,
1721885483.761,0.44,
1721885486.224,0.46,
1721885488.209,0.46,
1721885488.707,0.46,
1721885489.698,0.46,
1721885491.184,0.46,
1721885492.172,0.46,
1721885493.652,0.46,
1721885495.176,0.46,
1721885497.69,0.46,
1721885499.176,0.46,
1721885500.164,0.46,
1721885501.671,0.46,
1721885504.634,0.46,
1721885505.636,0.46,
1721885507.141,0.46,
1721885508.649,0.46,
1721885510.124,0.46,
1721885511.607,0.46,
1721885512.601,0.46,
1721885513.571,0.46,
1721885515.084,0.46,
1721885514.579,0.46,
1721885515.062,0.46,
1721885514.561,0.46,
1721885514.563,0.46,
1721885514.566,0.46,
1721885520.545,0.48,
1721885521.548,0.48,
1721885522.556,0.48,
1721885523.549,0.48,
1721885524.539,0.48,
1721885526.036,0.48,
1721885526.526,0.48,
1721885528.021,0.48,
1721885529.037,0.48,
1721885529.533,0.48,
1721885531.014,0.48,
1721885531.503,0.48,
1721885532.525,0.49,
1721885534.014,0.49,
1721885534.517,0.49,
1721885536.019,0.52,
1721885536.524,0.52,
1721885537.538,0.52,
1721885539.013,0.52,
1721885539.504,0.52,
1721885540.506,0.52,
1721885541.512,0.51,
1721885542.516,0.52,
1721885544.027,0.52,
1721885544.536,0.52,
1721885546.035,0.52,
1721885546.538,0.54,
1721885547.524,0.54,
1721885548.507,0.54,
1721885549.504,0.54,
1721885550.508,0.54,
1721885552.507,0.54,
